iter	Passed	Remaining
0	86	43242
1	108	27046
2	130	21669
3	153	18978
4	189	18759
5	215	17712
6	234	16524
7	254	15662
8	275	15013
9	295	14460
10	314	13990
11	333	13566
12	352	13208
13	372	12926
14	391	12672
15	411	12454
16	433	12307
17	452	12113
18	471	11941
19	492	11813
20	511	11660
21	531	11549
22	551	11434
23	573	11367
24	594	11290
25	613	11178
26	634	11122
27	653	11021
28	673	10932
29	692	10847
30	711	10766
31	731	10695
32	750	10626
33	770	10565
34	789	10495
35	810	10447
36	830	10391
37	849	10327
38	869	10278
39	888	10214
40	907	10159
41	926	10107
42	945	10050
43	966	10011
44	985	9968
45	1003	9907
46	1021	9849
47	1040	9802
48	1060	9760
49	1080	9728
50	1100	9688
51	1119	9643
52	1139	9609
53	1158	9568
54	1176	9521
55	1195	9481
56	1215	9443
57	1234	9408
58	1253	9370
59	1274	9344
60	1293	9305
61	1311	9266
62	1331	9236
63	1350	9197
64	1369	9161
65	1387	9123
66	1407	9094
67	1428	9078
68	1448	9045
69	1470	9031
70	1489	9000
71	1508	8967
72	1531	8956
73	1555	8952
74	1601	9077
75	1625	9067
76	1644	9034
77	1663	8998
78	1681	8958
79	1700	8929
80	1718	8889
81	1739	8869
82	1759	8840
83	1781	8823
84	1802	8800
85	1822	8772
86	1840	8738
87	1859	8703
88	1880	8685
89	1900	8658
90	1920	8632
91	1941	8608
92	1963	8591
93	1981	8557
94	2000	8530
95	2021	8507
96	2042	8485
97	2062	8461
98	2083	8437
99	2101	8407
100	2120	8377
101	2139	8350
102	2164	8343
103	2183	8315
104	2203	8287
105	2223	8264
106	2241	8231
107	2264	8220
108	2289	8213
109	2347	8322
110	2368	8299
111	2389	8279
112	2408	8247
113	2429	8227
114	2450	8204
115	2470	8179
116	2489	8150
117	2508	8122
118	2527	8093
119	2545	8061
120	2565	8035
121	2585	8010
122	2603	7980
123	2622	7950
124	2642	7927
125	2660	7896
126	2679	7869
127	2697	7838
128	2715	7809
129	2735	7785
130	2755	7761
131	2774	7734
132	2794	7711
133	2813	7684
134	2831	7654
135	2850	7630
136	2870	7605
137	2890	7582
138	2909	7557
139	2929	7531
140	2946	7502
141	2967	7482
142	2987	7457
143	3005	7431
144	3023	7402
145	3043	7378
146	3063	7357
147	3081	7329
148	3100	7303
149	3120	7281
150	3142	7262
151	3165	7247
152	3185	7223
153	3206	7203
154	3226	7180
155	3244	7154
156	3264	7131
157	3284	7110
158	3304	7087
159	3324	7065
160	3342	7038
161	3361	7014
162	3381	6990
163	3400	6967
164	3420	6944
165	3439	6921
166	3458	6896
167	3477	6871
168	3495	6846
169	3514	6823
170	3533	6797
171	3551	6772
172	3569	6747
173	3588	6723
174	3607	6700
175	3628	6679
176	3648	6657
177	3667	6633
178	3684	6608
179	3702	6582
180	3722	6560
181	3741	6537
182	3760	6514
183	3780	6493
184	3799	6469
185	3820	6450
186	3840	6427
187	3858	6402
188	3876	6378
189	3896	6357
190	3916	6336
191	3936	6314
192	3956	6293
193	3975	6271
194	3996	6250
195	4015	6228
196	4035	6206
197	4053	6182
198	4073	6161
199	4091	6136
200	4109	6112
201	4130	6093
202	4149	6070
203	4168	6048
204	4187	6025
205	4207	6005
206	4227	5984
207	4254	5972
208	4277	5955
209	4295	5932
210	4313	5908
211	4333	5887
212	4351	5862
213	4368	5838
214	4389	5818
215	4409	5797
216	4427	5774
217	4449	5756
218	4468	5732
219	4487	5711
220	4507	5690
221	4526	5668
222	4547	5648
223	4567	5627
224	4586	5605
225	4605	5583
226	4622	5559
227	4643	5539
228	4663	5519
229	4683	5498
230	4702	5476
231	4721	5454
232	4740	5432
233	4761	5412
234	4780	5391
235	4800	5369
236	4819	5347
237	4837	5325
238	4855	5302
239	4874	5281
240	4896	5262
241	4918	5243
242	4937	5221
243	4956	5200
244	4973	5176
245	4993	5156
246	5014	5136
247	5034	5116
248	5054	5095
249	5074	5074
250	5094	5054
251	5115	5034
252	5137	5015
253	5157	4995
254	5177	4974
255	5198	4955
256	5218	4933
257	5236	4911
258	5255	4890
259	5275	4869
260	5293	4847
261	5313	4826
262	5332	4805
263	5353	4785
264	5371	4763
265	5389	4741
266	5408	4719
267	5427	4698
268	5446	4676
269	5467	4657
270	5487	4636
271	5505	4614
272	5523	4592
273	5544	4572
274	5563	4552
275	5584	4532
276	5604	4512
277	5625	4492
278	5645	4471
279	5664	4450
280	5683	4429
281	5702	4408
282	5720	4386
283	5739	4365
284	5760	4345
285	5778	4323
286	5797	4302
287	5815	4280
288	5835	4260
289	5853	4238
290	5871	4216
291	5890	4195
292	5909	4175
293	5928	4153
294	5947	4132
295	5967	4112
296	5985	4090
297	6004	4069
298	6021	4048
299	6040	4026
300	6058	4005
301	6077	3984
302	6097	3964
303	6116	3943
304	6135	3922
305	6155	3902
306	6173	3880
307	6193	3860
308	6212	3840
309	6230	3818
310	6249	3797
311	6269	3777
312	6288	3756
313	6308	3736
314	6327	3716
315	6347	3696
316	6367	3676
317	6385	3654
318	6405	3634
319	6424	3613
320	6444	3593
321	6464	3573
322	6483	3552
323	6502	3532
324	6521	3511
325	6541	3491
326	6562	3471
327	6580	3450
328	6600	3430
329	6619	3410
330	6639	3389
331	6658	3369
332	6677	3348
333	6695	3327
334	6714	3307
335	6732	3286
336	6750	3265
337	6769	3244
338	6789	3224
339	6809	3204
340	6829	3184
341	6847	3163
342	6867	3143
343	6885	3122
344	6904	3102
345	6925	3082
346	6945	3062
347	6965	3042
348	6985	3022
349	7004	3001
350	7023	2981
351	7041	2960
352	7061	2940
353	7081	2920
354	7100	2900
355	7119	2879
356	7137	2859
357	7157	2839
358	7176	2818
359	7194	2797
360	7213	2777
361	7232	2757
362	7263	2741
363	7282	2720
364	7301	2700
365	7322	2680
366	7342	2661
367	7364	2641
368	7383	2621
369	7402	2600
370	7421	2580
371	7440	2560
372	7461	2540
373	7484	2521
374	7503	2501
375	7524	2481
376	7543	2461
377	7564	2441
378	7584	2421
379	7606	2402
380	7626	2382
381	7646	2361
382	7666	2341
383	7689	2322
384	7710	2303
385	7731	2283
386	7752	2263
387	7771	2243
388	7790	2222
389	7811	2203
390	7833	2183
391	7853	2163
392	7875	2144
393	7895	2124
394	7917	2104
395	7939	2085
396	7959	2065
397	7979	2044
398	7999	2024
399	8019	2004
400	8040	1984
401	8059	1964
402	8081	1945
