batch,accuracy,phase,drift_point
0,0.965,pre_drift,False
1,0.94,pre_drift,False
2,0.96,pre_drift,False
3,0.93,pre_drift,False
4,0.97,pre_drift,False
5,0.95,pre_drift,False
6,0.935,pre_drift,False
7,0.975,pre_drift,False
8,0.965,pre_drift,False
9,0.925,pre_drift,False
10,0.975,pre_drift,False
11,0.94,pre_drift,False
12,0.955,pre_drift,False
13,0.95,pre_drift,False
14,0.945,pre_drift,False
15,0.93,pre_drift,False
16,0.965,pre_drift,False
17,0.975,pre_drift,False
18,0.97,pre_drift,False
19,0.955,pre_drift,False
20,0.955,pre_drift,False
21,0.95,pre_drift,False
22,0.95,pre_drift,False
23,0.93,pre_drift,False
24,0.95,pre_drift,False
25,0.96,pre_drift,False
26,0.94,pre_drift,False
27,0.965,pre_drift,False
28,0.93,pre_drift,False
29,0.95,pre_drift,False
30,0.925,pre_drift,False
31,0.955,pre_drift,False
32,0.955,pre_drift,False
33,0.965,pre_drift,False
34,0.94,pre_drift,False
35,0.955,pre_drift,False
36,0.96,pre_drift,False
37,0.965,pre_drift,False
38,0.935,pre_drift,False
39,0.955,pre_drift,False
40,0.935,pre_drift,False
41,0.975,pre_drift,False
42,0.955,pre_drift,False
43,0.935,pre_drift,False
44,0.93,pre_drift,False
45,0.955,pre_drift,False
46,0.98,pre_drift,False
47,0.95,pre_drift,False
48,0.935,pre_drift,False
49,0.98,pre_drift,False
50,0.94,pre_drift,False
51,0.975,pre_drift,False
52,0.945,pre_drift,False
53,0.945,pre_drift,False
54,0.945,pre_drift,False
55,0.97,pre_drift,False
56,0.93,pre_drift,False
57,0.96,pre_drift,False
58,0.935,pre_drift,False
59,0.94,pre_drift,False
60,0.925,pre_drift,False
61,0.93,pre_drift,False
62,0.945,pre_drift,False
63,0.945,pre_drift,False
64,0.93,pre_drift,False
65,0.965,pre_drift,False
66,0.955,pre_drift,False
67,0.96,pre_drift,False
68,0.94,pre_drift,False
69,0.95,pre_drift,False
70,0.945,pre_drift,False
71,0.965,pre_drift,False
72,0.955,pre_drift,False
73,0.955,pre_drift,False
74,0.965,pre_drift,False
75,0.94,pre_drift,False
76,0.965,pre_drift,False
77,0.96,pre_drift,False
78,0.955,pre_drift,False
79,0.935,pre_drift,False
80,0.94,pre_drift,False
81,0.97,pre_drift,False
82,0.935,pre_drift,False
83,0.955,pre_drift,False
84,0.955,pre_drift,False
85,0.965,pre_drift,False
86,0.945,pre_drift,False
87,0.925,pre_drift,False
88,0.94,pre_drift,False
89,0.97,pre_drift,False
90,0.955,pre_drift,False
91,0.93,pre_drift,False
92,0.96,pre_drift,False
93,0.915,pre_drift,False
94,0.95,pre_drift,False
95,0.945,pre_drift,False
96,0.955,pre_drift,False
